,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,0,Valdivia,-39.8142,-73.2459,75.2,41,0,6.91,CL,2021-01-13 20:12:02
7,7,Quatre Cocos,-20.2078,57.7625,78.01,94,75,2.3,MU,2021-01-13 20:15:57
8,8,Rikitea,-23.1203,-134.9692,77.59,78,33,15.79,PF,2021-01-13 20:15:57
14,14,Itarema,-2.9248,-39.9167,82.24,72,84,14.43,BR,2021-01-13 20:15:58
16,16,Padang,-0.9492,100.3543,77.92,71,93,4.32,ID,2021-01-13 20:15:58
17,17,Tiarei,-17.5333,-149.3333,84.2,70,40,3.44,PF,2021-01-13 20:15:58
20,20,Avarua,-21.2078,-159.775,84.2,74,40,18.41,CK,2021-01-13 20:15:58
26,26,Touros,-5.1989,-35.4608,82.4,69,20,16.11,BR,2021-01-13 20:15:59
28,28,Atuona,-9.8,-139.0333,77.65,77,72,16.62,PF,2021-01-13 20:15:59
32,32,Puerto Ayora,-0.7393,-90.3518,87.8,55,40,16.11,EC,2021-01-13 20:16:00
36,36,Mtambile,-5.3833,39.7,78.91,80,0,13.35,TZ,2021-01-13 20:16:00
37,37,Cabo San Lucas,22.8909,-109.9124,77.0,40,75,8.05,MX,2021-01-13 20:16:00
39,39,Galle,6.0367,80.217,75.85,86,91,7.2,LK,2021-01-13 20:13:02
43,43,Jatai,-17.8814,-51.7144,76.98,83,98,4.05,BR,2021-01-13 20:13:11
44,44,Hilo,19.7297,-155.09,80.6,57,1,3.09,US,2021-01-13 20:11:36
49,49,Bathsheba,13.2167,-59.5167,82.4,65,40,17.27,BB,2021-01-13 20:16:01
56,56,Vaini,-21.2,-175.2,82.4,83,40,10.36,TO,2021-01-13 20:16:02
60,60,Bambous Virieux,-20.3428,57.7575,78.01,94,75,2.3,MU,2021-01-13 20:16:02
61,61,Palu,-0.8917,119.8707,76.82,82,100,2.57,ID,2021-01-13 20:16:02
62,62,Carnarvon,-24.8667,113.6333,77.0,94,15,17.27,AU,2021-01-13 20:16:02
68,68,Cape Town,-33.9258,18.4232,75.0,64,0,6.91,ZA,2021-01-13 20:12:02
70,70,Chilca,-12.5211,-76.7372,75.0,73,0,11.5,PE,2021-01-13 20:16:03
73,73,Hobyo,5.3505,48.5268,75.87,77,0,21.68,SO,2021-01-13 20:16:03
76,76,Meulaboh,4.1363,96.1285,76.69,75,100,5.26,ID,2021-01-13 20:16:04
86,86,Butaritari,3.0707,172.7902,81.57,76,72,21.3,KI,2021-01-13 20:16:04
87,87,Tautira,-17.7333,-149.15,84.2,70,40,3.44,PF,2021-01-13 20:16:04
90,90,Dingle,10.9995,122.6711,75.67,87,100,9.37,PH,2021-01-13 20:16:04
93,93,Pimentel,-6.8367,-79.9342,78.8,61,0,25.32,PE,2021-01-13 20:16:05
97,97,Apac,1.9756,32.5386,77.49,35,89,3.94,UG,2021-01-13 20:16:05
103,103,Sulangan,11.1373,123.7228,79.41,88,100,15.86,PH,2021-01-13 20:16:06
104,104,Souillac,-20.5167,57.5167,77.0,94,75,2.3,MU,2021-01-13 20:16:06
107,107,Hithadhoo,-0.6,73.0833,82.11,74,100,20.94,MV,2021-01-13 20:16:06
109,109,Bria,6.5423,21.9863,76.19,22,39,3.67,CF,2021-01-13 20:16:06
116,116,Alofi,-19.0595,-169.9187,82.4,83,75,6.91,NU,2021-01-13 20:11:17
117,117,Acajutla,13.5928,-89.8275,87.8,40,20,4.61,SV,2021-01-13 20:12:17
118,118,Mount Isa,-20.7333,139.5,82.4,47,60,4.61,AU,2021-01-13 20:16:07
120,120,Namatanai,-3.6667,152.4333,80.06,78,89,9.42,PG,2021-01-13 20:10:55
121,121,Georgetown,5.4112,100.3354,78.01,83,20,6.89,MY,2021-01-13 20:16:07
133,133,Harper,4.375,-7.7169,78.89,82,30,6.42,LR,2021-01-13 20:16:08
138,138,Paraiso,9.8383,-83.8656,78.8,50,0,18.41,CR,2021-01-13 20:16:08
140,140,Faanui,-16.4833,-151.75,81.18,76,70,17.0,PF,2021-01-13 20:16:08
142,142,Puerto Narino,-3.7703,-70.3831,78.8,89,75,3.44,CO,2021-01-13 20:16:09
143,143,Pitimbu,-7.4706,-34.8086,80.6,78,75,10.36,BR,2021-01-13 20:16:09
146,146,Kalmunai,7.4167,81.8167,75.02,92,100,3.09,LK,2021-01-13 20:16:09
150,150,Makakilo City,21.3469,-158.0858,80.6,61,20,10.36,US,2021-01-13 20:11:20
155,155,Nanakuli,21.3906,-158.1547,80.6,61,20,10.36,US,2021-01-13 20:16:09
160,160,Mahebourg,-20.4081,57.7,77.0,94,75,2.3,MU,2021-01-13 20:16:10
161,161,Vila Velha,-20.3297,-40.2925,82.4,74,20,16.11,BR,2021-01-13 20:16:10
168,168,Tual,-5.6667,132.75,84.51,74,100,12.71,ID,2021-01-13 20:16:11
170,170,Kapaa,22.0752,-159.319,78.8,61,1,1.99,US,2021-01-13 20:14:49
173,173,Saldanha,-33.0117,17.9442,78.8,53,0,5.75,ZA,2021-01-13 20:16:11
174,174,Marawi,7.9986,124.2928,75.99,95,100,5.01,PH,2021-01-13 20:16:11
182,182,Tres Palos,18.1833,-101.6167,89.6,62,75,8.05,MX,2021-01-13 20:16:12
184,184,Saint-Pierre,-21.3393,55.4781,80.6,83,75,2.3,RE,2021-01-13 20:16:12
185,185,Igbo Ora,7.4333,3.2833,82.02,64,0,10.11,NG,2021-01-13 20:16:12
192,192,Saint-Philippe,-21.3585,55.7679,80.6,83,75,2.3,RE,2021-01-13 20:16:12
196,196,Kailua,21.4022,-157.7394,80.6,53,40,3.44,US,2021-01-13 20:16:13
202,202,Belmonte,-15.8631,-38.8828,80.6,65,40,12.66,BR,2021-01-13 20:11:22
211,211,Lorengau,-2.0226,147.2712,82.11,76,100,9.48,PG,2021-01-13 20:16:14
212,212,Kahului,20.8947,-156.47,80.6,54,20,17.27,US,2021-01-13 20:14:49
214,214,Cockburn Town,21.4612,-71.1419,80.6,65,40,10.36,TC,2021-01-13 20:16:14
220,220,Ixhuatan,16.3569,-94.4825,86.86,41,11,15.05,MX,2021-01-13 20:16:15
225,225,Goundam,16.4145,-3.6708,78.64,15,0,9.91,ML,2021-01-13 20:16:15
226,226,Kralendijk,12.15,-68.2667,82.4,69,0,20.71,BQ,2021-01-13 20:16:15
235,235,Santa Cruz Del Sur,20.7147,-77.9956,82.17,63,46,4.36,CU,2021-01-13 20:16:16
238,238,Porangatu,-13.4408,-49.1486,84.97,69,100,2.98,BR,2021-01-13 20:14:24
245,245,Arraial Do Cabo,-22.9661,-42.0278,84.2,69,0,18.41,BR,2021-01-13 20:16:16
252,252,Kudahuvadhoo,2.6708,72.8944,81.7,78,100,17.2,MV,2021-01-13 20:16:17
253,253,Merauke,-8.4667,140.3333,81.32,79,100,2.59,ID,2021-01-13 20:16:17
254,254,Trairi,-3.2778,-39.2689,82.4,69,13,11.99,BR,2021-01-13 20:16:17
262,262,Bakel,14.905,-12.4568,83.19,14,0,8.34,SN,2021-01-13 20:16:18
263,263,Salalah,17.0151,54.0924,75.2,25,0,10.36,OM,2021-01-13 20:16:18
265,265,Manokwari,-0.8667,134.0833,79.34,74,100,3.42,ID,2021-01-13 20:16:18
267,267,Cukai,4.25,103.4167,75.2,88,100,4.61,MY,2021-01-13 20:16:18
270,270,Cayenne,4.9333,-52.3333,82.4,74,75,12.66,GF,2021-01-13 20:16:19
274,274,Morondava,-20.2833,44.2833,83.7,78,3,8.7,MG,2021-01-13 20:16:19
277,277,Santa Marta,11.2408,-74.199,89.01,56,100,11.01,CO,2021-01-13 20:16:19
279,279,Kavaratti,10.5669,72.642,77.38,77,96,9.64,IN,2021-01-13 20:16:19
284,284,Pihuamo,19.2499,-103.3828,80.6,44,75,5.75,MX,2021-01-13 20:16:20
285,285,Acapulco,16.8634,-99.8901,86.0,62,90,6.91,MX,2021-01-13 20:11:37
288,288,Nioro,13.35,-15.75,83.86,15,0,7.23,GM,2021-01-13 20:16:20
297,297,Labrea,-7.2586,-64.7981,88.03,67,91,2.91,BR,2021-01-13 20:16:21
298,298,Upata,8.0086,-62.3989,84.0,70,82,7.0,VE,2021-01-13 20:16:21
304,304,Trinidad,-14.8333,-64.9,75.2,100,90,3.44,BO,2021-01-13 20:16:21
317,317,Auki,-8.7676,160.7034,77.65,83,85,4.83,SB,2021-01-13 20:16:22
318,318,Yenagoa,4.9247,6.2642,78.13,82,34,7.87,NG,2021-01-13 20:16:22
328,328,San Cristobal,7.7669,-72.225,84.2,58,40,8.05,VE,2021-01-13 20:16:23
332,332,Neiafu,-18.65,-173.9833,80.6,83,40,6.91,TO,2021-01-13 20:16:23
333,333,Coari,-4.085,-63.1414,83.86,83,100,2.62,BR,2021-01-13 20:16:23
344,344,Inongo,-1.95,18.2667,76.95,79,37,2.71,CD,2021-01-13 20:16:24
349,349,Buala,-8.145,159.5921,80.38,80,77,7.7,SB,2021-01-13 20:16:24
351,351,Anloga,5.7947,0.8973,80.6,78,20,12.66,GH,2021-01-13 20:16:25
357,357,Cabedelo,-6.9811,-34.8339,80.6,78,75,10.36,BR,2021-01-13 20:16:25
359,359,Kapoeta,4.7717,33.5903,85.84,25,37,13.85,SS,2021-01-13 20:16:25
360,360,Eruwa,7.5333,3.4167,82.78,55,0,9.75,NG,2021-01-13 20:16:25
365,365,Sungairaya,0.7,108.9,75.54,96,100,7.38,ID,2021-01-13 20:16:26
377,377,Barabai,-2.5833,115.3833,75.63,94,100,1.19,ID,2021-01-13 20:16:27
378,378,Ipixuna,-1.7625,-48.8043,77.0,88,75,8.05,BR,2021-01-13 20:16:27
384,384,Bonthe,7.5264,-12.505,79.48,80,0,9.19,SL,2021-01-13 20:11:30
387,387,Port Shepstone,-30.7414,30.455,76.44,81,100,1.14,ZA,2021-01-13 20:16:27
389,389,Thinadhoo,0.5333,72.9333,82.11,73,100,19.17,MV,2021-01-13 20:16:27
398,398,Le Vauclin,14.5452,-60.8388,82.4,69,75,16.11,MQ,2021-01-13 20:16:28
399,399,Hambantota,6.1241,81.1185,76.21,86,97,7.49,LK,2021-01-13 20:11:36
402,402,Carora,10.1755,-70.0827,88.43,31,100,14.43,VE,2021-01-13 20:16:28
405,405,Iraucuba,-3.7461,-39.7833,87.39,51,85,10.71,BR,2021-01-13 20:16:28
408,408,Sorong,-0.8833,131.25,82.02,82,79,8.72,ID,2021-01-13 20:16:29
411,411,Saint-Georges,12.0564,-61.7485,84.2,65,20,16.11,GD,2021-01-13 20:16:29
412,412,Pandan,14.0453,124.1694,78.58,87,100,17.98,PH,2021-01-13 20:16:29
414,414,Cururupu,-1.8283,-44.8683,82.02,70,100,6.33,BR,2021-01-13 20:16:29
415,415,Sao Joao Da Barra,-21.6403,-41.0511,84.2,58,0,20.71,BR,2021-01-13 20:11:37
416,416,Nieuw Amsterdam,5.8833,-55.0833,82.4,74,40,5.75,SR,2021-01-13 20:11:05
417,417,Serrinha,-11.6642,-39.0075,81.23,62,81,12.35,BR,2021-01-13 20:16:29
419,419,Alquizar,22.8058,-82.5842,77.0,78,90,11.5,CU,2021-01-13 20:16:29
421,421,Pauini,-7.7136,-66.9764,79.05,93,100,5.23,BR,2021-01-13 20:16:29
422,422,Yulara,-25.2406,130.9889,84.2,21,0,6.91,AU,2021-01-13 20:16:29
423,423,Antalaha,-14.9003,50.2788,78.28,86,64,2.44,MG,2021-01-13 20:16:30
425,425,Kulhudhuffushi,6.6221,73.07,79.61,80,100,7.09,MV,2021-01-13 20:16:30
426,426,Olinda,-8.0089,-34.8553,80.6,61,75,4.61,BR,2021-01-13 20:16:30
430,430,Concordia,-31.393,-58.0209,84.2,37,0,13.8,AR,2021-01-13 20:07:11
435,435,Valparaiso,-33.0393,-71.6273,75.2,33,0,9.22,CL,2021-01-13 20:12:33
439,439,Kavieng,-2.5744,150.7967,82.4,76,85,14.61,PG,2021-01-13 20:16:31
440,440,Barra Do Garcas,-15.89,-52.2567,87.37,61,36,3.85,BR,2021-01-13 20:16:31
441,441,Banda Aceh,5.5577,95.3222,77.54,83,100,10.0,ID,2021-01-13 20:11:36
446,446,Gizo,-8.103,156.8419,82.76,74,64,11.07,SB,2021-01-13 20:16:31
462,462,Bubaque,11.2833,-15.8333,78.33,67,0,13.6,GW,2021-01-13 20:16:32
467,467,Puerto Gaitan,4.3133,-72.0816,89.44,44,66,14.5,CO,2021-01-13 20:16:33
468,468,Samarai,-10.6167,150.6667,83.39,75,100,7.76,PG,2021-01-13 20:16:32
472,472,Fonte Boa,-2.4959,-66.2662,84.33,77,99,2.53,BR,2021-01-13 20:16:33
473,473,Moron,-34.6534,-58.6198,81.0,24,0,13.8,AR,2021-01-13 20:16:34
475,475,Kloulklubed,7.0419,134.2556,78.8,89,75,4.61,PW,2021-01-13 20:16:34
478,478,Pisco,-13.7,-76.2167,77.0,65,0,21.85,PE,2021-01-13 20:14:20
484,484,Mbandaka,0.0487,18.2603,76.89,72,59,2.77,CD,2021-01-13 20:16:35
486,486,Andros Town,24.7,-77.7667,78.8,73,40,10.36,BS,2021-01-13 20:16:35
487,487,Rawson,-43.3002,-65.1023,76.6,25,40,23.44,AR,2021-01-13 20:11:12
488,488,Cap Malheureux,-19.9842,57.6142,78.01,81,14,3.0,MU,2021-01-13 20:16:35
499,499,Lazaro Cardenas,17.9583,-102.2,84.81,42,23,8.75,MX,2021-01-13 20:16:36
502,502,Maningrida,-12.0667,134.2667,80.76,88,92,4.14,AU,2021-01-13 20:16:36
506,506,Boromo,11.75,-2.9333,79.72,14,0,7.83,BF,2021-01-13 20:16:37
507,507,Iracoubo,5.4802,-53.2011,78.98,81,95,13.44,GF,2021-01-13 20:16:37
509,509,Bousse,12.6606,-1.8922,77.0,18,0,2.3,BF,2021-01-13 20:16:37
512,512,Port Keats,-14.25,129.55,83.01,79,0,3.06,AU,2021-01-13 20:16:37
527,527,Coahuayana,18.7333,-103.6833,80.6,44,75,5.75,MX,2021-01-13 20:16:38
528,528,Teresina,-5.0892,-42.8019,87.8,58,40,6.91,BR,2021-01-13 20:16:38
531,531,Durazno,-33.4131,-56.5006,82.4,23,0,13.8,UY,2021-01-13 20:16:38
532,532,Suba,10.8438,121.0102,80.11,83,59,24.34,PH,2021-01-13 20:16:39
535,535,Labuhan,-6.8844,112.2051,77.77,84,100,8.37,ID,2021-01-13 20:16:39
536,536,Eldorado,-23.7869,-54.2836,89.26,54,8,8.7,BR,2021-01-13 20:16:39
537,537,Isangel,-19.55,169.2667,77.0,94,75,9.28,VU,2021-01-13 20:16:39
538,538,Katobu,-4.9408,122.5276,76.24,91,99,0.51,ID,2021-01-13 20:16:39
541,541,Mahibadhoo,3.7833,72.9667,81.05,79,100,13.18,MV,2021-01-13 20:16:39
542,542,Maceio,-9.6658,-35.7353,80.6,78,75,12.66,BR,2021-01-13 20:16:39
544,544,San Fernando,15.0286,120.6898,75.2,73,75,2.3,PH,2021-01-13 20:16:39
548,548,Phuket,8.0,98.25,80.01,78,20,5.75,TH,2021-01-13 20:16:26
550,550,Caravelas,-17.7125,-39.2481,81.63,66,0,8.93,BR,2021-01-13 20:11:39
552,552,Jamame,0.0722,42.7506,75.88,80,12,12.21,SO,2021-01-13 20:16:40
553,553,Banjar,-8.19,114.9675,80.6,89,40,2.3,ID,2021-01-13 20:16:40
554,554,La Macarena,2.1837,-73.7849,81.43,59,100,1.48,CO,2021-01-13 20:11:15
557,557,Dekar,-21.5333,21.9333,77.54,63,22,4.92,BW,2021-01-13 20:16:40
558,558,Luganville,-15.5333,167.1667,80.01,83,99,3.53,VU,2021-01-13 20:11:39
567,567,Pietermaritzburg,-29.6168,30.3928,80.01,93,100,1.45,ZA,2021-01-13 20:16:41
573,573,Ocho Rios,18.4025,-77.1048,81.0,80,95,3.0,JM,2021-01-13 20:16:41
574,574,Poum,-20.2333,164.0167,81.36,82,100,14.41,NC,2021-01-13 20:16:41
575,575,Mana,5.6592,-53.7767,80.08,76,68,12.01,GF,2021-01-13 20:16:41
581,581,Santa Isabel Do Rio Negro,-0.4139,-65.0192,89.55,54,18,4.81,BR,2021-01-13 20:16:42
583,583,Mahajanga,-15.7167,46.3167,84.2,79,20,8.05,MG,2021-01-13 20:16:42
584,584,Palmerston,-12.485999999999999,130.9833,79.0,94,100,1.59,AU,2021-01-13 20:15:00
593,593,Jutai,-5.1833,-68.9,80.89,91,96,3.02,BR,2021-01-13 20:16:43
595,595,San Andres,12.5847,-81.7006,84.2,74,75,13.8,CO,2021-01-13 20:16:43
596,596,Saint-Leu,-21.15,55.2833,80.6,83,75,2.3,RE,2021-01-13 20:16:43
599,599,Mogadishu,2.0371,45.3438,76.86,82,27,21.34,SO,2021-01-13 20:16:44
602,602,Karaton,-6.3424,106.1045,81.0,83,40,6.91,ID,2021-01-13 20:16:44
603,603,Mitsamiouli,-11.3847,43.2844,81.36,76,10,8.59,KM,2021-01-13 20:16:44
606,606,Nkoteng,4.5167,12.0333,78.26,48,60,9.53,CM,2021-01-13 20:16:44
608,608,Vao,-22.6667,167.4833,77.04,84,90,18.28,NC,2021-01-13 20:16:44
613,613,Pontianak,-0.0333,109.3333,75.2,100,90,4.61,ID,2021-01-13 20:16:45
618,618,Gigmoto,13.7796,124.39,78.49,87,100,14.54,PH,2021-01-13 20:16:45
619,619,Sambava,-14.2667,50.1667,79.47,84,38,0.47,MG,2021-01-13 20:16:45
627,627,Barra Patuca,15.8,-84.2833,81.3,69,63,4.97,HN,2021-01-13 20:16:46
629,629,Puerto Madryn,-42.7692,-65.0385,75.79,32,11,21.7,AR,2021-01-13 20:16:46
631,631,Kirakira,-10.4544,161.9205,81.39,82,76,7.99,SB,2021-01-13 20:16:46
634,634,Nueva Loja,0.0847,-76.8828,87.8,58,40,3.44,EC,2021-01-13 20:16:46
635,635,Carira,-10.3608,-37.7011,83.66,53,100,15.68,BR,2021-01-13 20:16:46
645,645,Puerto Madero,14.7208,-92.4215,89.6,51,40,9.22,MX,2021-01-13 20:16:47
651,651,Luba,3.4568,8.5547,80.6,83,20,9.22,GQ,2021-01-13 20:16:47
652,652,Hinatuan,8.3722,126.3342,76.17,90,100,2.68,PH,2021-01-13 20:16:48
664,664,Redlands,34.0556,-117.1825,77.0,10,75,2.55,US,2021-01-13 20:12:48
668,668,Banos,-1.4,-78.4167,77.0,56,40,6.91,EC,2021-01-13 20:16:49
669,669,Ambilobe,-13.2,49.05,75.96,93,30,2.84,MG,2021-01-13 20:16:19
672,672,Quelimane,-17.8786,36.8883,78.01,78,40,4.61,MZ,2021-01-13 20:16:49
676,676,Papetoai,-17.4961,-149.8729,84.2,70,40,3.44,PF,2021-01-13 20:16:49
677,677,Mareeba,-17.0,145.4333,77.0,94,75,9.22,AU,2021-01-13 20:16:49
679,679,Paita,-5.0892,-81.1144,84.2,54,0,19.57,PE,2021-01-13 20:16:49
684,684,Noumea,-22.2763,166.4572,80.01,94,75,5.75,NC,2021-01-13 20:12:59
688,688,Calabasas,34.1578,-118.6384,78.01,17,1,4.61,US,2021-01-13 20:16:50
689,689,Tete,-16.1564,33.5867,77.0,100,75,4.79,MZ,2021-01-13 20:16:50
691,691,Bowen,-20.0167,148.2333,75.2,88,100,11.5,AU,2021-01-13 20:16:50
694,694,Port Blair,11.6667,92.75,77.07,77,0,10.71,IN,2021-01-13 20:16:51
698,698,Ciudad Bolivar,8.1222,-63.5497,89.2,41,83,10.6,VE,2021-01-13 20:16:51
