City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2021-01-11 20:04:35,-54.8,-68.3,44.6,70,75,9.22
1,Barrow,US,2021-01-11 20:06:37,71.2906,-156.7887,1.4,71,90,23.02
2,Adrar,MR,2021-01-11 20:06:37,20.5022,-10.0711,60.66,32,100,11.32
3,Hofn,IS,2021-01-11 20:06:37,64.2539,-15.2082,24.8,58,0,4.61
4,Airai,TL,2021-01-11 20:06:37,-8.9266,125.4092,61.68,100,38,0.83
5,Punta Arenas,CL,2021-01-11 20:06:37,-53.15,-70.9167,50.0,62,75,26.46
6,Yellowknife,CA,2021-01-11 20:06:37,62.456,-114.3525,12.99,92,40,8.05
7,Japura,ID,2021-01-11 20:06:38,-0.3167,102.35,72.93,98,100,2.82
8,Ponta Do Sol,PT,2021-01-11 20:06:38,32.6667,-17.1,55.0,63,21,3.0
9,Atar,MR,2021-01-11 20:06:38,20.5169,-13.0499,62.51,37,100,11.5
10,Port-Gentil,GA,2021-01-11 20:06:38,-0.7193,8.7815,80.6,83,20,8.05
11,Hithadhoo,MV,2021-01-11 20:06:38,-0.6,73.0833,80.87,78,58,16.64
12,Rikitea,PF,2021-01-11 20:06:38,-23.1203,-134.9692,77.7,78,100,20.02
13,Mataura,NZ,2021-01-11 20:06:38,-46.1927,168.8643,52.0,84,1,1.01
14,Evensk,RU,2021-01-11 20:06:38,61.95,159.2333,6.24,86,100,11.65
15,Thompson,CA,2021-01-11 20:06:38,55.7435,-97.8558,21.2,93,75,6.91
16,Alice Springs,AU,2021-01-11 20:06:38,-23.7,133.8833,77.0,56,0,5.75
17,Jamestown,US,2021-01-11 20:06:38,42.097,-79.2353,36.0,69,90,9.22
18,Klaksvik,FO,2021-01-11 20:06:38,62.2266,-6.589,37.4,70,75,24.16
19,Albany,US,2021-01-11 20:03:26,42.6001,-73.9662,32.0,68,100,1.97
20,Vardo,NO,2021-01-11 20:06:38,70.3705,31.1107,17.6,86,75,20.71
21,Vaini,TO,2021-01-11 20:06:38,-21.2,-175.2,80.6,89,75,9.22
22,Butaritari,KI,2021-01-11 20:06:39,3.0707,172.7902,80.82,82,44,20.85
23,Ambilobe,MG,2021-01-11 20:06:39,-13.2,49.05,75.16,92,21,2.13
24,Narrabri,AU,2021-01-11 20:06:39,-30.3167,149.7833,62.6,77,0,3.44
25,Marsabit,KE,2021-01-11 20:06:39,2.3284,37.9899,69.62,56,0,8.25
26,Tabas,IR,2021-01-11 20:06:39,33.5959,56.9244,35.6,23,0,6.91
27,Gunjur,GM,2021-01-11 20:06:39,13.2019,-16.7339,73.4,56,40,5.75
28,Chokurdakh,RU,2021-01-11 20:06:39,70.6333,147.9167,-32.96,82,66,2.24
29,Hermanus,ZA,2021-01-11 20:05:04,-34.4187,19.2345,70.0,81,100,8.01
30,Roald,NO,2021-01-11 20:06:39,62.5833,6.1333,28.4,93,75,8.05
31,Bull Savanna,JM,2021-01-11 20:06:39,17.8868,-77.5902,80.13,74,100,12.71
32,Provideniya,RU,2021-01-11 20:06:39,64.3833,-173.3,-0.4,71,75,17.9
33,Bhag,PK,2021-01-11 20:06:39,29.0415,67.8239,56.21,29,0,2.86
34,Riosucio,CO,2021-01-11 20:06:39,5.4216,-75.7032,77.0,61,40,5.75
35,Barceloneta,PR,2021-01-11 20:06:40,18.4505,-66.5385,82.0,73,99,3.0
36,Oostkamp,BE,2021-01-11 20:06:40,51.1188,3.231,45.0,85,100,17.0
37,Chuy,UY,2021-01-11 20:03:18,-33.6971,-53.4616,74.3,86,100,11.54
38,Aleksandrovskoye,RU,2021-01-11 20:06:40,44.7142,43.0008,30.2,100,90,6.71
39,Husavik,IS,2021-01-11 20:06:40,66.0449,-17.3389,14.0,85,0,4.61
40,Busselton,AU,2021-01-11 20:03:27,-33.65,115.3333,55.0,78,100,1.01
41,Mahebourg,MU,2021-01-11 20:06:40,-20.4081,57.7,77.0,100,75,16.11
42,Puerto Ayora,EC,2021-01-11 20:06:40,-0.7393,-90.3518,80.6,69,75,14.97
43,Port Augusta,AU,2021-01-11 20:06:40,-32.5,137.7667,64.4,68,90,12.66
44,Leningradskiy,RU,2021-01-11 20:06:40,69.3833,178.4167,-22.32,83,100,13.98
45,Kodiak,US,2021-01-11 20:06:40,57.79,-152.4072,37.4,87,90,10.36
46,Victoria,HK,2021-01-11 20:04:59,22.2855,114.1577,48.99,33,10,1.01
47,Bengkulu,ID,2021-01-11 20:06:40,-3.8004,102.2655,75.36,94,100,7.45
48,Kutum,SD,2021-01-11 20:06:40,14.2,24.6667,59.81,31,0,12.53
49,Iquitos,PE,2021-01-11 20:03:00,-3.7481,-73.2472,82.4,74,75,6.91
50,Najran,SA,2021-01-11 20:06:41,17.4924,44.1277,57.2,38,0,4.61
51,Cape Town,ZA,2021-01-11 20:05:13,-33.9258,18.4232,73.4,60,0,17.27
52,Biryusinsk,RU,2021-01-11 20:06:41,55.9634,97.8235,-8.81,90,100,6.31
53,Kapaa,US,2021-01-11 20:06:41,22.0752,-159.319,78.8,73,20,6.91
54,Elizabeth City,US,2021-01-11 20:06:41,36.2946,-76.2511,48.2,61,90,3.44
55,Baracoa,CU,2021-01-11 20:06:41,20.3467,-74.4958,80.13,71,96,9.46
56,Toppenish,US,2021-01-11 20:01:52,46.3774,-120.3087,39.99,87,90,5.75
57,Vung Tau,VN,2021-01-11 20:06:41,10.346,107.0843,75.52,73,100,9.82
58,Burgeo,CA,2021-01-11 20:06:36,47.6167,-57.6152,30.24,91,0,14.34
59,Chumikan,RU,2021-01-11 20:06:41,54.7183,135.315,-21.73,81,0,17.58
60,Lazaro Cardenas,MX,2021-01-11 20:04:58,17.9583,-102.2,82.49,52,0,9.62
61,Tiksi,RU,2021-01-11 20:06:41,71.6872,128.8694,-34.02,82,88,8.77
62,Grindavik,IS,2021-01-11 20:06:41,63.8424,-22.4338,26.6,68,0,8.05
63,Torbay,CA,2021-01-11 20:03:18,47.6666,-52.7314,27.0,86,90,14.97
64,Port Hardy,CA,2021-01-11 20:02:56,50.6996,-127.4199,46.4,81,40,3.44
65,Mnogovershinnyy,RU,2021-01-11 20:06:41,53.9353,139.9242,-23.35,88,61,3.29
66,Vanavara,RU,2021-01-11 20:06:42,60.34,102.2797,-34.74,83,33,2.28
67,Kailua,US,2021-01-11 20:06:42,21.4022,-157.7394,80.6,65,40,12.66
68,Cherskiy,RU,2021-01-11 20:06:42,68.75,161.3,-35.37,80,0,2.39
69,Kieta,PG,2021-01-11 20:06:42,-6.2167,155.6333,78.58,83,100,7.65
70,Sault Sainte Marie,CA,2021-01-11 20:05:21,46.5168,-84.3333,28.4,80,90,5.75
71,Chipata,ZM,2021-01-11 20:06:42,-13.6333,32.65,65.61,99,100,0.09
72,Marzuq,YE,2021-01-11 20:06:42,14.4,46.4667,56.23,38,67,8.37
73,Castro,BR,2021-01-11 20:06:42,-24.7911,-50.0119,79.16,73,27,3.33
74,Nikolskoye,RU,2021-01-11 20:06:42,59.7035,30.7861,10.4,85,20,8.95
75,Cobija,BO,2021-01-11 20:06:42,-11.0267,-68.7692,77.0,94,75,10.36
76,Idukki,IN,2021-01-11 20:06:43,9.85,76.9667,66.2,90,100,4.59
77,Mar Del Plata,AR,2021-01-11 20:03:35,-38.0023,-57.5575,75.2,50,0,12.66
78,Zaria,NG,2021-01-11 20:06:43,11.1113,7.7227,73.58,20,0,9.35
79,Key Largo,US,2021-01-11 20:03:11,25.0865,-80.4473,75.0,61,91,1.01
80,Barcelos,PT,2021-01-11 20:06:43,41.5388,-8.6151,44.01,81,0,2.3
81,Oneonta,US,2021-01-11 20:04:18,42.4529,-75.0638,35.01,71,97,3.47
82,Gat,IL,2021-01-11 20:06:43,31.61,34.7642,64.99,55,51,8.01
83,Saskylakh,RU,2021-01-11 20:06:43,71.9167,114.0833,-11.94,89,100,5.1
84,Calama,CL,2021-01-11 20:06:43,-22.4667,-68.9333,78.8,15,0,28.77
85,Souillac,MU,2021-01-11 20:06:43,-20.5167,57.5167,77.0,100,75,16.11
86,Dikson,RU,2021-01-11 20:06:43,73.5069,80.5464,5.61,96,100,3.98
87,Fort Nelson,CA,2021-01-11 20:06:44,58.8053,-122.7002,14.0,85,75,3.44
88,Monteiro,BR,2021-01-11 20:06:44,-7.8894,-37.12,79.83,58,95,3.76
89,Arraial Do Cabo,BR,2021-01-11 20:01:57,-22.9661,-42.0278,84.2,65,40,18.41
90,New Norfolk,AU,2021-01-11 20:06:44,-42.7826,147.0587,64.99,71,69,4.0
91,Laguna,US,2021-01-11 20:02:45,38.421,-121.4238,55.4,71,1,6.91
92,Atuona,PF,2021-01-11 20:06:44,-9.8,-139.0333,77.34,81,39,16.4
93,Hami,CN,2021-01-11 20:06:44,42.8,93.45,13.03,82,0,0.69
94,Dudinka,RU,2021-01-11 20:06:44,69.4058,86.1778,-4.81,92,97,6.49
95,Sabya,SA,2021-01-11 20:06:44,17.1495,42.6254,71.6,78,0,0.43
96,Ouargaye,BF,2021-01-11 20:06:44,11.5033,0.0572,78.85,16,43,0.78
97,Mezen,RU,2021-01-11 20:06:44,65.8522,44.24,-8.36,85,7,5.59
98,Novo Oriente,BR,2021-01-11 20:06:44,-5.5344,-40.7742,88.3,45,90,1.23
99,Kavieng,PG,2021-01-11 20:06:45,-2.5744,150.7967,81.99,75,100,8.1
100,Aden,YE,2021-01-11 20:06:45,12.7794,45.0367,74.64,72,96,16.84
101,Ilulissat,GL,2021-01-11 20:06:45,69.2167,-51.1,24.8,86,75,5.75
102,Boa Vista,BR,2021-01-11 20:04:20,2.8197,-60.6733,84.2,61,75,9.22
103,Maniitsoq,GL,2021-01-11 20:06:45,65.4167,-52.9,21.06,95,100,0.85
104,Namibe,AO,2021-01-11 20:06:45,-15.1961,12.1522,73.26,67,71,11.21
105,Katsuura,JP,2021-01-11 20:06:45,35.1333,140.3,39.0,44,100,7.0
106,Keti Bandar,PK,2021-01-11 20:06:45,24.1447,67.4497,60.67,31,0,6.89
107,Turukhansk,RU,2021-01-11 20:06:45,65.8167,87.9833,-8.79,91,100,9.44
108,Nortelandia,BR,2021-01-11 20:06:46,-14.4547,-56.8028,91.53,50,95,1.68
109,Zemetchino,RU,2021-01-11 20:06:46,53.4973,42.6163,9.1,95,87,4.81
110,Batemans Bay,AU,2021-01-11 20:06:46,-35.7167,150.1833,64.0,95,100,1.01
111,Geraldton,AU,2021-01-11 20:06:46,-28.7667,114.6,71.6,78,47,14.97
112,Acapulco,MX,2021-01-11 20:02:24,16.8634,-99.8901,86.0,62,40,5.75
113,Diego De Almagro,CL,2021-01-11 20:06:46,-26.3667,-70.05,85.03,15,0,14.56
114,Villazon,BO,2021-01-11 20:06:46,-22.0866,-65.5942,70.12,26,94,8.12
115,Mount Isa,AU,2021-01-11 20:06:46,-20.7333,139.5,77.0,69,0,2.3
116,Lasa,IT,2021-01-11 20:06:46,46.6166,10.7002,19.4,45,0,11.5
117,Ribeira Grande,PT,2021-01-11 20:06:46,38.5167,-28.7,62.6,94,75,10.36
118,Carnarvon,AU,2021-01-11 20:04:09,-24.8667,113.6333,75.2,94,40,18.41
119,Port Hope,US,2021-01-11 20:06:46,43.9408,-82.7127,30.2,69,100,8.05
120,Tvoroyri,FO,2021-01-11 20:06:47,61.5556,-6.8111,37.4,70,75,24.16
121,Sao Filipe,CV,2021-01-11 20:06:47,14.8961,-24.4956,70.86,70,90,18.23
122,Coquimbo,CL,2021-01-11 20:05:33,-29.9533,-71.3436,71.6,49,0,16.11
123,Elat,IL,2021-01-11 20:05:53,29.5581,34.9482,64.4,45,0,9.22
124,Tasiilaq,GL,2021-01-11 20:06:47,65.6145,-37.6368,21.2,58,75,2.3
125,Kununurra,AU,2021-01-11 20:06:47,-15.7667,128.7333,77.0,94,90,1.14
126,Bluff,NZ,2021-01-11 20:06:47,-46.6,168.3333,52.0,84,3,1.01
127,Talnakh,RU,2021-01-11 20:06:47,69.4865,88.3972,-17.91,87,100,3.15
128,Rupert,US,2021-01-11 20:06:47,42.6191,-113.6772,33.8,64,1,14.97
129,Narimanov,RU,2021-01-11 20:06:48,46.6927,47.8498,28.4,93,75,6.71
130,Okakarara,NA,2021-01-11 20:06:48,-20.5833,17.4333,70.07,81,100,12.17
131,Clarence Town,AU,2021-01-11 20:06:48,-32.5833,151.7833,68.0,82,0,6.91
132,Jumla,NP,2021-01-11 20:06:48,29.2747,82.1838,37.53,48,95,3.94
133,Paamiut,GL,2021-01-11 20:06:48,61.994,-49.6678,28.06,98,100,15.9
134,Bambous Virieux,MU,2021-01-11 20:02:11,-20.3428,57.7575,79.0,100,75,16.11
135,Yigou,CN,2021-01-11 20:06:48,35.8114,114.3167,30.92,67,42,9.86
136,East London,ZA,2021-01-11 20:06:48,-33.0153,27.9116,73.58,86,100,15.95
137,Port Blair,IN,2021-01-11 20:05:07,11.6667,92.75,78.8,80,10,10.85
138,Dapaong,TG,2021-01-11 20:06:48,10.8639,0.205,80.17,16,0,3.6
139,Lamar,US,2021-01-11 20:06:48,33.6668,-95.5836,46.0,49,1,6.91
140,Itarema,BR,2021-01-11 20:06:48,-2.9248,-39.9167,82.33,67,5,13.02
141,Vila Franca Do Campo,PT,2021-01-11 20:06:49,37.7167,-25.4333,59.0,100,75,4.61
142,Narragansett,US,2021-01-11 20:06:49,41.4501,-71.4495,39.0,52,90,9.08
143,Pisco,PE,2021-01-11 20:06:49,-13.7,-76.2167,75.2,73,0,18.41
144,Bethel,US,2021-01-11 20:03:28,41.3712,-73.414,33.01,64,75,2.91
145,The Valley,AI,2021-01-11 20:06:49,18.217,-63.0578,82.4,65,20,14.97
146,Amurzet,RU,2021-01-11 20:06:49,47.6967,131.0981,-2.43,93,90,1.95
147,Aurillac,FR,2021-01-11 20:02:36,44.9167,2.45,25.0,85,0,1.01
148,Haines Junction,CA,2021-01-11 20:06:49,60.7522,-137.5108,10.4,92,62,2.3
149,Luderitz,NA,2021-01-11 20:06:49,-26.6481,15.1594,69.04,65,0,20.29
150,Quelimane,MZ,2021-01-11 20:06:49,-17.8786,36.8883,86.0,74,20,8.05
151,Shimanovsk,RU,2021-01-11 20:06:49,52.0,127.7,-20.34,86,85,5.1
152,Hobart,AU,2021-01-11 20:06:49,-42.8794,147.3294,66.2,68,20,13.8
153,Puyang,CN,2021-01-11 20:06:50,29.4603,119.8861,30.0,1,0,3.74
154,Moose Factory,CA,2021-01-11 20:06:50,51.2585,-80.6094,33.8,86,90,12.66
155,Hilo,US,2021-01-11 20:06:50,19.7297,-155.09,77.0,69,75,3.44
156,Pedernales,DO,2021-01-11 20:06:50,18.0384,-71.744,83.39,58,100,6.04
157,Biak,ID,2021-01-11 20:06:50,-0.9131,122.8766,77.27,78,98,2.57
158,Bacolod,PH,2021-01-11 20:06:50,10.6667,122.95,76.24,87,99,17.18
159,Esperance,AU,2021-01-11 20:04:09,-33.8667,121.9,51.8,76,26,6.91
160,Cabinda,AO,2021-01-11 20:06:50,-5.55,12.2,78.33,83,0,9.17
161,Kholtoson,RU,2021-01-11 20:06:50,50.2981,103.3097,3.81,86,98,5.39
162,Lata,PT,2021-01-11 20:06:50,40.1629,-8.3327,46.0,61,0,6.91
163,Norman Wells,CA,2021-01-11 20:06:51,65.282,-126.8329,-2.2,84,75,3.44
164,Berlevag,NO,2021-01-11 20:06:51,70.8578,29.0864,14.0,57,0,5.75
165,Saint-Philippe,RE,2021-01-11 20:06:51,-21.3585,55.7679,78.8,89,90,2.3
166,Hamilton,US,2021-01-11 20:06:51,39.1834,-84.5333,32.0,59,90,10.36
167,Port Elizabeth,ZA,2021-01-11 20:03:49,-33.918,25.5701,66.2,100,90,16.11
168,Wuhu,CN,2021-01-11 20:06:51,31.3366,118.3755,28.4,59,0,6.71
169,Tuatapere,NZ,2021-01-11 20:06:51,-46.1333,167.6833,52.0,84,0,1.01
170,Cidreira,BR,2021-01-11 20:06:51,-30.1811,-50.2056,79.39,81,0,24.38
171,Bredasdorp,ZA,2021-01-11 20:06:51,-34.5322,20.0403,68.0,83,100,16.11
172,Launceston,AU,2021-01-11 20:06:25,-41.45,147.1667,62.01,94,61,14.97
173,Kahului,US,2021-01-11 20:06:51,20.8947,-156.47,80.6,54,20,5.75
174,Broome,US,2021-01-11 20:06:51,42.2506,-75.833,34.0,74,90,6.91
175,Cumpas,MX,2021-01-11 20:06:51,29.9833,-109.7833,56.05,36,100,5.66
176,Shimoda,JP,2021-01-11 20:06:51,34.6667,138.95,34.0,67,100,3.94
177,Miandrivazo,MG,2021-01-11 20:06:52,-19.5167,45.4667,80.82,81,95,3.11
178,Yongan,CN,2021-01-11 20:06:52,39.6957,113.6871,11.91,75,16,11.68
179,Vao,NC,2021-01-11 20:06:52,-22.6667,167.4833,78.37,86,100,19.95
180,Brae,GB,2021-01-11 20:06:52,60.3964,-1.353,37.4,81,40,27.63
181,Anloga,GH,2021-01-11 20:06:52,5.7947,0.8973,80.6,89,20,10.36
182,Bilibino,RU,2021-01-11 20:06:52,68.0546,166.4372,-26.99,80,1,1.99
183,Nanortalik,GL,2021-01-11 20:06:52,60.1432,-45.2371,30.56,95,100,6.29
184,Cururupu,BR,2021-01-11 20:02:26,-1.8283,-44.8683,84.85,61,31,6.8
185,Mastic Beach,US,2021-01-11 20:06:52,40.7668,-72.8521,37.4,52,40,3.44
186,Olafsvik,IS,2021-01-11 20:06:52,64.8945,-23.7142,29.79,89,0,6.33
187,Qui Nhon,VN,2021-01-11 20:06:52,13.7667,109.2333,64.26,85,100,21.81
188,Zhigansk,RU,2021-01-11 20:06:52,66.7697,123.3711,-43.22,79,79,10.18
189,Aksarka,RU,2021-01-11 20:06:52,66.5606,67.7975,-12.84,78,71,3.85
190,Yamada,JP,2021-01-11 20:06:53,39.4667,141.95,28.38,88,100,2.93
191,Faya,SA,2021-01-11 20:06:53,18.3851,42.4509,46.4,93,40,8.05
192,Verkhnevilyuysk,RU,2021-01-11 20:06:53,63.4453,120.3167,-41.94,81,99,1.48
193,Goundam,ML,2021-01-11 20:06:53,16.4145,-3.6708,75.31,20,0,14.97
194,San Juan,AR,2021-01-11 20:03:47,-31.5375,-68.5364,85.55,26,0,26.51
195,Saldanha,ZA,2021-01-11 20:06:53,-33.0117,17.9442,75.2,50,0,5.75
